rank,campus,state,IPEDS_UNITID,outreach_priority,market_opportunity,growth_momentum,growth_label,distribution_strength,business_bachelors,business_growth_5y,accounting_bachelors,undergrad_enrollment,greek_chapters,councils,estimated_intro1_annual,why,next_action
41,University of North Texas at Dallas,TX,484905,68.8,63.1,89.6,RAPID_GROWTH,63.7,218,+50.3%,59,3018,41,,523,218 business grads/year (2024) • Business completions +50% over 5Y • 41 social Greek chapters • Council contacts verified • 59 accounting grads/year,Council outreach
42,College of Charleston,SC,217819,68.4,74.5,57.3,STABLE,65,493,-6.8%,33,10660,32,,1183,493 business grads/year (2024) • Business completions -7% over 5Y • 32 social Greek chapters • Council contacts verified,Council outreach
43,Northeastern University,MA,167358,68.4,76.1,72,GROWING,50.1,1082,+8.3%,0,15891,29,IFC+MGC+NPHC+PANHELLENIC,2597,"1,082 business grads/year (2024) • Business completions +8% over 5Y • 29 social Greek chapters • Large undergrad population (15,891)",Greek council enrichment
44,Oregon State University,OR,209542,68.2,78.8,50.4,STABLE,61.4,843,-9.9%,55,30021,51,IFC+MGC+NPHC+PANHELLENIC,2023,"843 business grads/year (2024) • Business completions -10% over 5Y • 51 social Greek chapters • Large undergrad population (30,021) • 55 accounting grads/year",Greek council enrichment
45,Syracuse University,NY,196413,68.1,70.1,74.7,GROWING,58.7,450,+26.4%,45,15739,44,IFC+MGC+NPHC+PANHELLENIC,1080,"450 business grads/year (2024) • Business completions +26% over 5Y • 44 social Greek chapters • Large undergrad population (15,739)",Greek council enrichment
46,The University of Texas at San Antonio,TX,229027,67.8,82.9,54.5,STABLE,48.4,1063,-3.2%,127,30310,28,IFC+MGC+NPHC+PANHELLENIC,2551,"1,063 business grads/year (2024) • Business completions -3% over 5Y • 28 social Greek chapters • Large undergrad population (30,310) • 127 accounting grads/year",Greek council enrichment
47,Western Kentucky University,KY,157951,67.6,76.6,62.6,GROWING,53.6,550,-1.4%,56,14590,33,IFC+NPHC+PANHELLENIC,1320,"550 business grads/year (2024) • Business completions -1% over 5Y • 33 social Greek chapters • Large undergrad population (14,590) • 56 accounting grads/year",Greek council enrichment
48,University of North Carolina at Greensboro,NC,199148,66.5,74.5,62.6,GROWING,53.6,631,+0.3%,80,14156,18,IFC+NPHC+PANHELLENIC,1514,"631 business grads/year (2024) • Business completions +0% over 5Y • 18 social Greek chapters • Large undergrad population (14,156) • 80 accounting grads/year",Research + intro outreach
49,Virginia Commonwealth University,VA,234030,66.2,71.2,53.6,STABLE,PENDING,567,-12.5%,54,21205,NOT_RUN,,1361,"567 business grads/year (2024) • Business completions -12% over 5Y • Large undergrad population (21,205)",Enrich structural data
50,The University of Texas at Dallas,TX,228787,66.1,81,57.8,STABLE,42.8,961,-0.2%,195,21330,23,IFC+MGC+NPHC+PANHELLENIC,2306,"961 business grads/year (2024) • Business completions 0% over 5Y • 23 social Greek chapters • Large undergrad population (21,330) • 195 accounting grads/year",Greek council enrichment
