chapter_id,campus,chapter,council,legal_entity_status,legal_entity_count,local_entity_count,local_entity_found,house_corporation_found,foundation_found,national_parent_found,alumni_corp_found,latest_990_year,officer_count_latest_filing,director_count_latest_filing,latest_reported_president,latest_reported_treasurer,latest_revenue,latest_expenses,latest_assets,latest_liabilities,alumni_governance_strength,data_confidence
2b8b5fb7-fdad-44cb-bdc8-240ca6e27696,University of Georgia,Omega Psi Phi,NPHC,ENTITY_MATCHED,2,1,true,false,false,true,false,2022,0,0,,,14895796,9895558,17720990,1151714,LIGHT,HIGH
2fa82fb7-8a9b-48a7-b5a5-360c87a735ca,University of Georgia,Delta Sigma Theta,NPHC,NEEDS_REVIEW,1,0,false,false,false,true,false,2022,0,0,,,31051194,25156563,57143857,24790550,LIGHT,NATIONAL_ONLY
32fdc993-3bff-4605-a49d-07de641c4e41,University of Georgia,Zeta Phi Beta,NPHC,NEEDS_REVIEW,1,0,false,false,false,true,false,2022,0,0,,,7208754,6749052,25467405,5042416,LIGHT,NATIONAL_ONLY
3a2b5440-9bf1-418d-900c-862fa27c74a7,Louisiana State University,Acacia,IFC,NOT_RUN,0,0,false,false,false,false,false,,0,0,,,,,,,UNKNOWN,NONE
3c2712da-d721-417d-8382-f8049d976088,University of Florida,Phi Gamma Delta,IFC,ENTITY_MATCHED,2,1,true,false,false,true,false,2023,5,10,TIM KILDUFF,DONALD J HERMAN,6882567,7250137,16972198,283891,LIGHT,HIGH
3f200e94-b82d-4b06-bb25-b9cfdc150053,University of Georgia,Alpha Omicron Pi,Panhellenic,NO_ENTITY_FOUND,1,0,false,false,false,true,false,2023,0,0,,,7459387,6338452,39739276,4492321,LIGHT,NATIONAL_ONLY
41b734e8-abbe-47cc-b146-e641c776502f,University of Georgia,Sigma Kappa,Panhellenic,NO_ENTITY_FOUND,1,0,false,false,false,true,false,2024,0,0,,,6149087,4574786,14487244,7002321,LIGHT,NATIONAL_ONLY
c22a1b49-e06e-4f7b-8c8e-e2b2ccec54d4,University of Florida,Sigma Nu,IFC,NEEDS_REVIEW,1,0,false,false,false,true,false,2023,0,0,,,6291872,5989304,10968372,2625304,LIGHT,NATIONAL_ONLY
c371e47c-ed55-4831-8006-7dd170467069,University of Arkansas,Phi Beta Sigma,NPHC,NO_ENTITY_FOUND,0,0,false,false,false,false,false,,0,0,,,,,,,UNKNOWN,NONE
cd8fff1c-a0e7-4014-b76a-eb4e3d8e657e,University of Kentucky,Delta Phi Lambda,MGC,NO_ENTITY_FOUND,0,0,false,false,false,false,false,,0,0,,,,,,,UNKNOWN,NONE
d057db17-f35a-4c74-86a8-d71ef3e6dafc,University of Georgia,Pi Kappa Psi,MGC,NO_ENTITY_FOUND,0,0,false,false,false,false,false,,0,0,,,,,,,UNKNOWN,NONE
d38fda16-9e72-44d8-b294-6f6467b43ff4,University of Georgia,Phi Gamma Delta,IFC,ENTITY_MATCHED,2,1,true,false,false,true,false,2023,10,10,CHANCE LACEY,HANK MANNING,1060888,989212,194506,2843,LIGHT,HIGH
dba1e801-5968-4813-8e8a-b901df5ca322,University of Georgia,Sigma Pi,IFC,ENTITY_MATCHED,2,0,false,false,false,true,false,2023,0,0,,,477905,420753,205814,0,LIGHT,NATIONAL_ONLY
dd83d629-fa1b-4385-a8ea-a0f4f043f8b8,University of Kentucky,Omega Psi Phi,NPHC,NEEDS_REVIEW,1,0,false,false,false,true,false,2022,0,0,,,14895796,9895558,17720990,1151714,LIGHT,NATIONAL_ONLY
df8c0ef1-d864-4bda-84c5-08d4ade794ec,University of Georgia,Delta Sigma Phi,IFC,NEEDS_REVIEW,1,0,false,false,false,true,false,2023,6,10,JIM LARSON,BRAD SULLIVAN,3767364,4353085,972505,2084532,LIGHT,NATIONAL_ONLY
f2ece4b5-6ac3-4cb3-bb03-ed83f36bb6bc,University of Kentucky,Delta Zeta,Panhellenic,NEEDS_REVIEW,1,0,false,false,false,true,false,2023,4,4,MICHELLE ALBRECHT SMITH,,26809001,20532278,96230431,29613757,LIGHT,NATIONAL_ONLY
f529eb4e-74c2-4dd5-b168-577b23f33202,University of Kentucky,Sigma Lambda Beta,MGC,NO_ENTITY_FOUND,0,0,false,false,false,false,false,,0,0,,,,,,,UNKNOWN,NONE
45bf09d8-5f54-4916-88cd-3e7797d18830,University of Georgia,Phi Kappa Tau,IFC,ENTITY_MATCHED,2,1,true,false,false,true,false,2023,0,0,,,171791,171800,25012,0,LIGHT,HIGH
fb8bd862-bcf4-4a20-8de4-a390214e70f7,University of Georgia,Sigma Sigma Rho,MGC,CANDIDATES_FOUND,0,0,false,false,false,false,false,,0,0,,,,,,,UNKNOWN,NONE
493a191e-b338-44de-9377-cb123f46ad2d,University of Kentucky,Alpha Kappa Delta Phi,MGC,NO_ENTITY_FOUND,0,0,false,false,false,false,false,,0,0,,,,,,,UNKNOWN,NONE
49e7e7eb-737d-4b2d-806a-78862bcceb15,University of Kentucky,Zeta Tau Alpha,Panhellenic,NO_ENTITY_FOUND,1,0,false,false,false,true,false,2023,0,0,,,8374719,10057415,36753113,13449328,LIGHT,NATIONAL_ONLY
622d210d-fdc8-46d5-87e3-c34171482b05,University of Georgia,Kappa Sigma,IFC,NEEDS_REVIEW,1,0,false,false,false,true,false,2022,0,0,,,5863607,5483274,7857250,989095,LIGHT,NATIONAL_ONLY
67ded91c-8f38-49c1-922d-c35e98e36240,University of Georgia,Phi Kappa Theta,IFC,ENTITY_MATCHED,3,2,true,false,false,true,false,2023,0,0,,,253795,251748,94913,3518,LIGHT,HIGH
6e215efd-3bc7-4346-a149-0ee347e74061,University of Georgia,Sigma Nu,IFC,ENTITY_MATCHED,2,1,true,false,false,true,false,2023,0,0,,,6291872,5989304,10968372,2625304,LIGHT,HIGH
7e20da79-f052-4731-8509-2b66113f818e,University of Georgia,Chi Phi,IFC,NEEDS_REVIEW,1,0,false,false,false,true,false,2023,0,0,,,1726829,1550584,2016767,226135,LIGHT,NATIONAL_ONLY
82a222ec-1fa0-4042-bd34-418c4148a255,University of Kentucky,Delta Sigma Theta,NPHC,ENTITY_MATCHED,2,1,true,false,false,true,false,2022,0,0,,,31051194,25156563,57143857,24790550,LIGHT,HIGH
83f8cc90-e07c-420e-9065-feec401df68f,University of Georgia,Xi Kappa,MGC,NO_ENTITY_FOUND,0,0,false,false,false,false,false,,0,0,,,,,,,UNKNOWN,NONE
