ein,legal_name,entity_type,tax_year,form_type,rich_filing_available,total_revenue,total_expenses,total_assets,total_liabilities,net_assets,source
237128453,LAMBDA CHI ALPHA FRATERNITY INC,LOCAL_CHAPTER_ENTITY,2018,990,true,258093,279002,5973,15000,-9027,PROPUBLICA_API
237219356,KAPPA KAPPA GAMMA FRATERNITY INC,LOCAL_CHAPTER_ENTITY,2018,990,true,1363537,962517,5804694,4781,5799913,PROPUBLICA_API
237145973,SIGMA ALPHA EPSILON SOUTH CAROLINA DELTA CHAPTER,LOCAL_CHAPTER_ENTITY,2018,990,true,255331,260861,18861,0,18861,PROPUBLICA_API
383878997,ALPHA GAMMA DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,537026,486451,244763,0,244763,PROPUBLICA_API
741132046,KAPPA ALPHA ORDER,UNKNOWN,2018,990,true,953160,944700,19439,0,19439,PROPUBLICA_API
464828091,LAMBDA THETA HOUSE CORPORATION OF PHI MU FRATERNITY,HOUSE_CORPORATION,2018,990,true,1033619,944126,4062532,3236591,825941,PROPUBLICA_API
620256693,KAPPA SIGMA FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,485593,466550,40005,0,40005,PROPUBLICA_API
570742538,CHI OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,357749,394098,84398,0,84398,PROPUBLICA_API
201554454,GAMMA PHI BETA SORORITY INC,LOCAL_CHAPTER_ENTITY,2018,990,true,304937,276681,140462,750,139712,PROPUBLICA_API
576027420,PI KAPPA ALPHA FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,241166,240470,940,0,940,PROPUBLICA_API
626111214,KAPPA SIGMA FRATERNITY,PROPERTY_HOLDING_ENTITY,2018,990EZ,true,154682,99367,490411,760,489651,PROPUBLICA_API
620495178,TENNESSEE KAPPA CHAPTER OF SIGMA ALPHA EPSILON,LOCAL_CHAPTER_ENTITY,2018,990,true,280000,279000,8061,0,8061,PROPUBLICA_API
742188211,SIGMA PHI EPSILON EDUCATION FOUNDATION OF TEXAS ALPHA,EDUCATIONAL_FOUNDATION,2018,990EZ,true,86044,103329,370626,323954,46672,PROPUBLICA_API
621414737,BETA SIGMA OF SIGMA CHI HOUSE CORPORATION,HOUSE_CORPORATION,2018,990,true,84169,123078,1505321,1225347,279974,PROPUBLICA_API
