ein,legal_name,entity_type,entity_type_confidence,city,state,zip,irs_subsection,ntee_code,affiliation_code,group_exemption_number,asset_amt,income_amt,source
350267650,DELTA TAU DELTA FRATERNITY,NATIONAL_PARENT,HIGH,INDIANAPOLIS,IN,46240-2174,07,,6,0124,,,IRS_EO_BMF
430769468,ALPHA EPSILON PI FRATERNITY INC,NATIONAL_PARENT,HIGH,INDIANAPOLIS,IN,46268-6102,07,,6,1064,3156158,6439814,IRS_EO_BMF
570340150,PI KAPPA PHI FRATERNITY,NATIONAL_PARENT,HIGH,CHARLOTTE,NC,28273-0222,07,,6,0424,12560974,7557224,IRS_EO_BMF
370464584,PI BETA PHI FRATERNITY,NATIONAL_PARENT,HIGH,CHESTERFIELD,MO,63017-8200,07,,6,0544,52090930,13476577,IRS_EO_BMF
440500006,KAPPA DELTA SORORITY INC,NATIONAL_PARENT,HIGH,MEMPHIS,TN,38125-8897,07,,6,0805,63284162,22530527,IRS_EO_BMF
362152330,ALPHA KAPPA ALPHA SORORITY INC,NATIONAL_PARENT,HIGH,CHICAGO,IL,60637-1906,07,,6,9321,76668993,63159720,IRS_EO_BMF
130604310,DELTA KAPPA EPSILON FRATERNITY,NATIONAL_PARENT,HIGH,ANN ARBOR,MI,48103-9181,07,,6,0599,2177818,2094831,IRS_EO_BMF
311353726,DELTA ZETA NATIONAL HOUSING CORPORATION,NATIONAL_PARENT,HIGH,OXFORD,OH,45056-1320,07,,6,5187,108923508,60524309,IRS_EO_BMF
131496610,ZETA BETA TAU FRATERNITY,NATIONAL_PARENT,HIGH,CARMEL,IN,46032-3823,07,,6,0158,2239075,3102969,IRS_EO_BMF
580310956,KAPPA ALPHA ORDER,NATIONAL_PARENT,HIGH,LEXINGTON,VA,24450-0306,07,,6,0066,4618179,5528041,IRS_EO_BMF
314359813,ALPHA SIGMA PHI FRATERNITY INC,NATIONAL_PARENT,HIGH,CARMEL,IN,46032-7541,07,,6,6237,2339456,5271426,IRS_EO_BMF
310406478,PHI KAPPA TAU FRATERNITY,NATIONAL_PARENT,HIGH,OXFORD,OH,45056-8928,07,,6,0332,4233448,3050250,IRS_EO_BMF
370152140,ALPHA TAU OMEGA FRATERNITY,NATIONAL_PARENT,HIGH,INDIANAPOLIS,IN,46204-2151,07,,6,0287,3455682,6819160,IRS_EO_BMF
314221880,KAPPA KAPPA GAMMA FRATERNITY INC,NATIONAL_PARENT,HIGH,DUBLIN,OH,43017-9535,07,,6,0894,19465747,10791205,IRS_EO_BMF
361305568,KAPPA ALPHA THETA FRATERNITY,NATIONAL_PARENT,HIGH,INDIANAPOLIS,IN,46268-1337,07,,6,0154,42174245,17277135,IRS_EO_BMF
580638489,ALPHA DELTA PI SORORITY,NATIONAL_PARENT,HIGH,ATLANTA,GA,30306-4604,07,,6,0629,21627805,26194796,IRS_EO_BMF
362374316,DELTA DELTA DELTA,NATIONAL_PARENT,HIGH,DALLAS,TX,75254-6893,07,,6,0091,41667276,28916753,IRS_EO_BMF
310531047,BETA THETA PI FRATERNITY,NATIONAL_PARENT,HIGH,OXFORD,OH,45056-1429,07,,6,0315,6953866,7891139,IRS_EO_BMF
230967790,PHI KAPPA SIGMA FRATERNITY GRAND CHAPTER,NATIONAL_PARENT,HIGH,CARMEL,IN,46032-7589,07,,6,0271,1352250,1039067,IRS_EO_BMF
620458346,PI KAPPA ALPHA FRATERNITY,NATIONAL_PARENT,HIGH,MEMPHIS,TN,38125-0721,07,,6,0355,1,,IRS_EO_BMF
361773960,SIGMA CHI FRATERNITY,NATIONAL_PARENT,HIGH,EVANSTON,IL,60201-4517,07,,6,0008,2119666,6584303,IRS_EO_BMF
300174261,TAU KAPPA EPSILON FRATERNITY INC,NATIONAL_PARENT,HIGH,INDIANAPOLIS,IN,46278-1765,07,N50,6,4275,7500597,8477805,IRS_EO_BMF
530215218,DELTA SIGMA THETA SORORITY INC,NATIONAL_PARENT,HIGH,WASHINGTON,DC,20009-2501,07,,6,1188,59590263,38279295,IRS_EO_BMF
620950113,ALPHA OMICRON PI FRATERNITY INC,NATIONAL_PARENT,HIGH,BRENTWOOD,TN,37027-7529,07,,6,0190,36731327,9087343,IRS_EO_BMF
370152080,ALPHA GAMMA RHO FRATERNITY,NATIONAL_PARENT,HIGH,KANSAS CITY,MO,64118-4535,07,,6,0339,4183082,3342811,IRS_EO_BMF
730654150,SIGMA SIGMA SIGMA INC,NATIONAL_PARENT,HIGH,CHAPEL HILL,NC,27514-2825,07,,6,0631,11581756,4382209,IRS_EO_BMF
840405009,DELTA SIGMA PHI FRATERNITY INC NATIONAL HEADQUARTERS,NATIONAL_PARENT,HIGH,INDIANAPOLIS,IN,46250-0000,07,,6,0588,1648355,4808812,IRS_EO_BMF
420212285,DELTA CHI FRATERNITY,NATIONAL_PARENT,HIGH,INDIANAPOLIS,IN,46208-4036,07,,6,0401,9327359,5242154,IRS_EO_BMF
540628798,SIGMA NU FRATERNITY INC,NATIONAL_PARENT,HIGH,LEXINGTON,VA,24450-0305,07,,6,0238,10957503,7398409,IRS_EO_BMF
540379370,SIGMA PHI EPSILON FRATERNITY INC,NATIONAL_PARENT,HIGH,RICHMOND,VA,23220-5706,07,,6,0309,60775805,17079804,IRS_EO_BMF
431971836,DELTA PHI EPSILON SORORITY INC,NATIONAL_PARENT,HIGH,OAKLYN,NJ,08107-0096,07,,6,1656,,,IRS_EO_BMF
251072670,ALPHA EPSILON PHI SORORITY INC,NATIONAL_PARENT,HIGH,DANBURY,CT,06811-5258,07,B83,6,5846,,,IRS_EO_BMF
562163357,THETA NU XI MULTICULTURAL SORORITY INCORPORATED,NATIONAL_PARENT,HIGH,SOUTH WINDSOR,CT,06074-2613,07,B83,6,5437,363481,164379,IRS_EO_BMF
386089059,CHI PSI FRATERNITY,NATIONAL_PARENT,HIGH,NASHVILLE,TN,37210-2042,07,,6,0986,4960096,2808626,IRS_EO_BMF
362024274,SIGMA DELTA TAU SOCIETY,NATIONAL_PARENT,HIGH,CARMEL,IN,46032-7541,07,,6,1026,5669377,2621682,IRS_EO_BMF
223530740,LAMBDA THETA ALPHA,NATIONAL_PARENT,HIGH,ITHACA,NY,14850-0000,07,B83,6,5887,2174490,790523,IRS_EO_BMF
231500981,THE GRAND CHAPTER OF PHI SIGMA KAPPA,NATIONAL_PARENT,HIGH,INDIANAPOLIS,IN,46240-1368,07,,6,0258,1778656,2202535,IRS_EO_BMF
352103442,ALPHA XI DELTA NATIONAL HOUSING CORPORATION INC,NATIONAL_PARENT,HIGH,INDIANAPOLIS,IN,46260-2101,07,B83,6,3655,20320747,4358527,IRS_EO_BMF
042200265,PHI KAPPA THETA FRATERNITY,NATIONAL_PARENT,HIGH,INDIANAPOLIS,IN,46278-6029,07,,6,1518,307210,2563,IRS_EO_BMF
382828436,HONOR SOCIETY OF SIGMA LAMBDA ALPHA INCORPORATED,NATIONAL_PARENT,HIGH,GAINESVILLE,FL,32611-5706,03,,6,5150,,,IRS_EO_BMF
131368460,TAU EPSILON PHI FRATERNITY INC,NATIONAL_PARENT,HIGH,TROY,NY,12181-0718,07,,6,0261,695787,683693,IRS_EO_BMF
