priority,campus_id,campus,state,reason,detail,status
2,7d89723d-6d46-46c6-a059-e5875ff118a7,James Madison University,VA,exam_mapping_needs_approval,"midterm #3:[7,8,9,10,11]",COMPLETE
2,9311c065-92df-486b-9852-97cb17107c69,Florida State College at Jacksonville,FL,exam_mapping_needs_approval,"exam 1:[1,2,3,4] exam 2:[5,6,7,8] exam 3:[9,10,11,12,13]",NEEDS_REVIEW
2,a44a848d-4281-4780-8e29-955221802623,Liberty University,VA,exam_mapping_needs_approval,"undefined:[1,2,3,4,5] undefined:[6,7,8,9,10] undefined:[11,12,13,14,15] undefined:[16,17,18,19,20]",NEEDS_REVIEW
2,d523da51-d1e6-4787-b1f4-a00133b9e727,Carleton University,ON,exam_mapping_needs_approval,"in-class quiz 1:[1,2,3,4] midterm exam:[1,2,3,4,5,6] in-class quiz 2:[7,8,9] final exam:[1,2,3,4,5,6,7,8,9,10,11]",NEEDS_REVIEW
2,e631c8de-37a3-4aae-a948-a64bd20ea4c5,University of Arkansas,AR,exam_mapping_needs_approval,"exam 1:[1,2,3] exam 2:[4,5,6] exam 3:[7,8] exam 4:[9,10] final exam:[1,2,3,4,5,6,7,8,9,10,11,12,13] exam i:[1,17,18,19,20,21,22,23,24,5] exam ii:[6,7,8,9,10] exam iii:[11,19,3,4] comprehensive final exam:[1,17,18,19,20,21,22,23,24,5,6,7,8,9,10,11,19,3,4,2,13,14,12,15,16]",COMPLETE
2,e68d3256-de0a-4381-a0a5-a8dfebf4e3e5,Penn State Brandywine,PA,exam_mapping_needs_approval,"mid-term exam:[1,2,3,4,5,6,7,8] final exam:[11,12,13,14,15,16,18,20,21,22,23]",NEEDS_REVIEW
2,ec4f4635-fa9b-41eb-ac1c-5c61a8722b97,Salisbury University,MD,exam_mapping_needs_approval,"mid-term examination:[8,13,14] final exam part 1:[11,12,15,16,17] final examination:[11,12,15,16,17]",NEEDS_REVIEW
3,00274032-48fd-43d0-bd53-3549b4c5ff07,CUNY Hunter College,,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,0054904a-2d2a-4686-af96-8ac394798e2b,University of Montana,MT,ambiguous_course_identity_no_code,discover_course_code,COMPLETE
3,0058c3b5-9cf3-4da2-a236-75b19b8b7911,Lawrence Technological Univ,MI,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,0061927b-102d-4362-9c21-c5b423e43cac,University of The Cumberlands,KY,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,022f4049-cba8-48ec-9edd-c585f88f7f87,University of Puget Sound,,ambiguous_course_identity_no_code,await_course_code_backfill,WAITING_FOR_COURSE
