campus,national_org,chapter_designation,council,letters
University of Georgia,Sigma Sigma Rho,,MGC,
University of Georgia,Delta Phi Lambda,,MGC,ΔΦΛ
University of Georgia,Alpha Phi Alpha,,NPHC,ΑΦΑ
University of Georgia,Alpha Kappa Alpha,,NPHC,ΑΚΑ
University of Georgia,Delta Sigma Theta,,NPHC,ΔΣΘ
University of Georgia,Kappa Alpha Psi,,NPHC,ΚΑΨ
University of Georgia,Omega Psi Phi,,NPHC,ΩΨΦ
University of Georgia,Phi Beta Sigma,,NPHC,ΦΒΣ
University of Georgia,Sigma Gamma Rho,,NPHC,ΣΓΡ
University of Georgia,Zeta Phi Beta,,NPHC,ΖΦΒ
University of Georgia,Alpha Chi Omega,,Panhellenic,ΑΧΩ
University of Georgia,Alpha Delta Pi,,Panhellenic,ΑΔΠ
University of Georgia,Alpha Gamma Delta,,Panhellenic,ΑΓΔ
University of Georgia,Alpha Omicron Pi,,Panhellenic,ΑΟΠ
University of Georgia,Alpha Phi,,Panhellenic,ΑΦ
University of Georgia,Chi Omega,,Panhellenic,ΧΩ
University of Georgia,Delta Delta Delta,,Panhellenic,ΔΔΔ
University of Georgia,Delta Gamma,,Panhellenic,ΔΓ
University of Georgia,Delta Phi Epsilon,,Panhellenic,ΔΦΕ
University of Georgia,Delta Zeta,,Panhellenic,ΔΖ
University of Georgia,Gamma Phi Beta,,Panhellenic,ΓΦΒ
University of Georgia,Kappa Alpha Theta,,Panhellenic,ΚΑΘ
University of Georgia,Kappa Delta,,Panhellenic,ΚΔ
University of Georgia,Kappa Kappa Gamma,,Panhellenic,ΚΚΓ
University of Georgia,Phi Mu,,Panhellenic,ΦΜ
University of Georgia,Pi Beta Phi,,Panhellenic,ΠΒΦ
University of Georgia,Sigma Delta Tau,,Panhellenic,ΣΔΤ
University of Georgia,Sigma Kappa,,Panhellenic,ΣΚ
University of Georgia,Zeta Tau Alpha,,Panhellenic,ΖΤΑ
University of Kentucky,Alpha Gamma Rho,,IFC,ΑΓΡ
University of Kentucky,Alpha Kappa Lambda,,IFC,ΑΚΛ
University of Kentucky,Alpha Tau Omega,,IFC,ΑΤΩ
University of Kentucky,Beta Theta Pi,,IFC,ΒΘΠ
University of Kentucky,Beta Upsilon Chi,,IFC,ΒΥΧ
University of Kentucky,Delta Chi,,IFC,ΔΧ
University of Kentucky,Delta Sigma Phi,,IFC,ΔΣΦ
University of Kentucky,Delta Tau Delta,,IFC,ΔΤΔ
University of Kentucky,FarmHouse,,IFC,FH
University of Kentucky,Kappa Alpha Order,,IFC,ΚΑ
University of Kentucky,Kappa Sigma,,IFC,ΚΣ
University of Kentucky,Lambda Chi Alpha,,IFC,ΛΧΑ
University of Kentucky,Phi Delta Theta,,IFC,ΦΔΘ
University of Kentucky,Phi Gamma Delta,,IFC,ΦΓΔ
University of Kentucky,Phi Kappa Tau,,IFC,ΦΚΤ
University of Kentucky,Pi Kappa Alpha,,IFC,ΠΚΑ
University of Kentucky,Pi Kappa Phi,,IFC,ΠΚΦ
University of Kentucky,Sigma Alpha Epsilon,,IFC,ΣΑΕ
University of Kentucky,Sigma Chi,,IFC,ΣΧ
University of Kentucky,Sigma Nu,,IFC,ΣΝ
University of Kentucky,Sigma Phi Epsilon,,IFC,ΣΦΕ
University of Kentucky,Sigma Pi,,IFC,ΣΠ
University of Kentucky,Tau Kappa Epsilon,,IFC,ΤΚΕ
University of Kentucky,Theta Chi,,IFC,ΘΧ
University of Kentucky,Triangle,,IFC,Triangle
University of Kentucky,Alpha Chi Omega,,Panhellenic,ΑΧΩ
University of Kentucky,Alpha Delta Pi,,Panhellenic,ΑΔΠ
University of Kentucky,Alpha Gamma Delta,,Panhellenic,ΑΓΔ
University of Kentucky,Alpha Omicron Pi,,Panhellenic,ΑΟΠ
University of Kentucky,Alpha Phi,,Panhellenic,ΑΦ
University of Kentucky,Chi Omega,,Panhellenic,ΧΩ
University of Kentucky,Delta Delta Delta,,Panhellenic,ΔΔΔ
University of Kentucky,Delta Gamma,,Panhellenic,ΔΓ
University of Kentucky,Delta Zeta,,Panhellenic,ΔΖ
University of Kentucky,Kappa Alpha Theta,,Panhellenic,ΚΑΘ
University of Kentucky,Kappa Delta,,Panhellenic,ΚΔ
University of Kentucky,Kappa Kappa Gamma,,Panhellenic,ΚΚΓ
University of Kentucky,Phi Mu,,Panhellenic,ΦΜ
University of Kentucky,Phi Sigma Rho,,Panhellenic,ΦΣΡ
University of Kentucky,Pi Beta Phi,,Panhellenic,ΠΒΦ
University of Kentucky,Zeta Tau Alpha,,Panhellenic,ΖΤΑ
University of Kentucky,Alpha Phi Alpha,,NPHC,ΑΦΑ
University of Kentucky,Alpha Kappa Alpha,,NPHC,ΑΚΑ
University of Kentucky,Delta Sigma Theta,,NPHC,ΔΣΘ
University of Kentucky,Iota Phi Theta,,NPHC,ΙΦΘ
University of Kentucky,Kappa Alpha Psi,,NPHC,ΚΑΨ
University of Kentucky,Omega Psi Phi,,NPHC,ΩΨΦ
University of Kentucky,Phi Beta Sigma,,NPHC,ΦΒΣ
University of Kentucky,Sigma Gamma Rho,,NPHC,ΣΓΡ
University of Kentucky,Zeta Phi Beta,,NPHC,ΖΦΒ
University of Kentucky,Alpha Kappa Delta Phi,,UGC,ΑΚΔΦ
University of Kentucky,Delta Phi Lambda,,UGC,ΔΦΛ
University of Kentucky,Lambda Theta Alpha,,UGC,ΛΘΑ
University of Kentucky,Lambda Theta Phi,,UGC,ΛΘΦ
University of Kentucky,Omega Delta Phi,,UGC,ΩΔΦ
University of Kentucky,Sigma Lambda Gamma,,UGC,ΣΛΓ
University of Kentucky,Sigma Lambda Beta,,UGC,ΣΛΒ
Louisiana State University,Acacia,,IFC,Acacia
Louisiana State University,Alpha Gamma Rho,,IFC,ΑΓΡ
Louisiana State University,Alpha Tau Omega,,IFC,ΑΤΩ
Louisiana State University,Beta Theta Pi,,IFC,ΒΘΠ
Louisiana State University,Delta Chi,,IFC,ΔΧ
Louisiana State University,Delta Kappa Epsilon,,IFC,ΔΚΕ
Louisiana State University,Delta Tau Delta,,IFC,ΔΤΔ
Louisiana State University,Kappa Alpha Order,,IFC,ΚΑ
Louisiana State University,Kappa Sigma,,IFC,ΚΣ
Louisiana State University,Lambda Chi Alpha,,IFC,ΛΧΑ
Louisiana State University,Phi Delta Theta,,IFC,ΦΔΘ
Louisiana State University,Phi Gamma Delta,,IFC,ΦΓΔ
Louisiana State University,Pi Kappa Alpha,,IFC,ΠΚΑ
Louisiana State University,Pi Kappa Phi,,IFC,ΠΚΦ
Louisiana State University,Sigma Alpha Epsilon,,IFC,ΣΑΕ
Louisiana State University,Sigma Chi,,IFC,ΣΧ
Louisiana State University,Sigma Nu,,IFC,ΣΝ
Louisiana State University,Theta Chi,,IFC,ΘΧ
